Namespace(ignore_case=False, order=4, ref='./scores_regless/w01/gen.out.ref', sacrebleu=False, sentence_bleu=True, sys='./scores_regless/w01/gen.out.sys')
178 BLEU4 = 38.94, 75.0/50.0/33.3/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
179 BLEU4 = 55.07, 100.0/75.0/66.7/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
180 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
181 BLEU4 = 30.33, 75.0/50.0/33.3/50.0 (BP=0.607, ratio=0.667, syslen=4, reflen=6)
182 BLEU4 = 42.73, 66.7/50.0/40.0/25.0 (BP=1.000, ratio=1.200, syslen=6, reflen=5)
183 BLEU4 = 5.28, 100.0/66.7/50.0/100.0 (BP=0.069, ratio=0.273, syslen=3, reflen=11)
184 BLEU4 = 20.03, 100.0/66.7/50.0/100.0 (BP=0.264, ratio=0.429, syslen=3, reflen=7)
185 BLEU4 = 80.34, 83.3/83.3/80.0/75.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
186 BLEU4 = 80.34, 83.3/83.3/80.0/75.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
187 BLEU4 = 65.11, 100.0/80.0/75.0/66.7 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
188 BLEU4 = 29.64, 66.7/33.3/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
189 BLEU4 = 42.89, 100.0/75.0/66.7/50.0 (BP=0.607, ratio=0.667, syslen=4, reflen=6)
190 BLEU4 = 39.91, 75.0/75.0/66.7/50.0 (BP=0.607, ratio=0.667, syslen=4, reflen=6)
191 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
192 BLEU4 = 26.97, 44.4/33.3/25.0/14.3 (BP=1.000, ratio=1.500, syslen=9, reflen=6)
193 BLEU4 = 33.09, 80.0/40.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
194 BLEU4 = 32.47, 66.7/33.3/20.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
195 BLEU4 = 37.61, 60.0/40.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
196 BLEU4 = 48.55, 83.3/66.7/40.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
197 BLEU4 = 42.73, 66.7/50.0/40.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
198 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
199 BLEU4 = 30.79, 60.0/40.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
200 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
201 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
202 BLEU4 = 63.89, 83.3/66.7/60.0/50.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
203 BLEU4 = 43.54, 80.0/60.0/50.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
204 BLEU4 = 30.21, 50.0/33.3/20.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
205 BLEU4 = 42.73, 66.7/50.0/40.0/25.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
206 BLEU4 = 30.79, 60.0/40.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
207 BLEU4 = 23.39, 40.0/20.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
208 BLEU4 = 49.47, 100.0/80.0/50.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
209 BLEU4 = 43.54, 80.0/60.0/50.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
210 BLEU4 = 36.61, 80.0/60.0/25.0/33.3 (BP=0.819, ratio=0.833, syslen=5, reflen=6)
211 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
212 BLEU4 = 21.20, 60.0/20.0/25.0/33.3 (BP=0.670, ratio=0.714, syslen=5, reflen=7)
213 BLEU4 = 33.18, 60.0/60.0/50.0/33.3 (BP=0.670, ratio=0.714, syslen=5, reflen=7)
214 BLEU4 = 35.65, 80.0/60.0/50.0/33.3 (BP=0.670, ratio=0.714, syslen=5, reflen=7)
215 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=6, reflen=6)
